epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
1,0.00183914,7.9422,0.00069206,1.6951,0.00100000,6.7
2,0.00062281,0.8466,0.00059184,0.4356,0.00100000,12.7
3,0.00058270,0.2833,0.00056718,0.1555,0.00100000,18.8
4,0.00055172,0.0114,0.00053370,-0.0379,0.00100000,24.2
5,0.00051509,-0.2569,0.00051242,-0.1266,0.00100000,30.0
6,0.00049157,-0.4426,0.00050014,-0.1624,0.00100000,35.4
7,0.00047331,-0.6086,0.00047467,-0.4739,0.00100000,41.1
8,0.00045743,-0.7642,0.00047396,-0.3740,0.00100000,47.1
9,0.00044479,-0.8887,0.00045229,-0.7029,0.00100000,52.9
10,0.00043396,-0.9857,0.00043410,-0.9450,0.00100000,58.9
11,0.00042242,-1.1017,0.00042240,-1.0550,0.00100000,64.4
12,0.00041314,-1.1773,0.00040940,-1.2006,0.00100000,70.0
13,0.00040313,-1.2536,0.00039876,-1.2823,0.00100000,75.5
14,0.00038950,-1.3943,0.00038534,-1.4390,0.00100000,81.3
15,0.00037794,-1.5075,0.00038051,-1.4113,0.00100000,87.1
16,0.00036861,-1.5767,0.00036881,-1.5526,0.00100000,92.5
17,0.00035378,-1.7499,0.00038052,-1.1808,0.00100000,97.9
18,0.00033625,-1.9131,0.00036438,-1.4061,0.00100000,103.2
19,0.00031226,-2.1043,0.00034033,-1.4466,0.00100000,108.9
20,0.00027940,-2.4605,0.00027709,-2.4511,0.00100000,114.2
21,0.00025655,-2.7694,0.00027859,-2.2986,0.00100000,119.8
22,0.00023698,-3.0958,0.00032434,-1.7127,0.00100000,125.3
23,0.00022110,-3.3884,0.00023589,-3.1651,0.00100000,130.8
24,0.00020744,-3.6403,0.00022672,-3.2490,0.00100000,136.2
25,0.00019566,-3.8520,0.00019360,-3.9100,0.00100000,141.6
26,0.00017857,-4.2036,0.00018844,-3.9865,0.00100000,146.9
27,0.00017138,-4.3857,0.00019391,-3.8660,0.00100000,152.2
28,0.00016231,-4.5980,0.00030086,-1.2139,0.00100000,157.6
29,0.00015519,-4.8030,0.00020440,-3.5036,0.00100000,162.9
30,0.00014784,-5.0282,0.00016390,-4.6270,0.00100000,168.5
31,0.00013975,-5.2464,0.00015261,-4.9122,0.00100000,173.8
32,0.00013617,-5.3582,0.00014858,-4.8771,0.00100000,179.3
33,0.00012936,-5.5425,0.00080868,4.1923,0.00100000,184.6
34,0.00012620,-5.6469,0.00014315,-5.0325,0.00100000,190.2
35,0.00012484,-5.6983,0.00018470,-3.9918,0.00100000,195.6
36,0.00012193,-5.7819,0.00012907,-5.4493,0.00100000,201.0
37,0.00011825,-5.8835,0.00014085,-5.0080,0.00100000,206.3
38,0.00011611,-5.9305,0.00054997,2.3272,0.00100000,211.7
39,0.00011541,-5.9789,0.00136484,6.8970,0.00100000,217.0
40,0.00011314,-6.0491,0.00014221,-5.2221,0.00050000,222.4
41,0.00008738,-6.9558,0.00009268,-6.7516,0.00050000,228.1
42,0.00007759,-7.3234,0.00013767,-5.0719,0.00050000,233.5
43,0.00008488,-7.0732,0.00010305,-6.3147,0.00050000,238.9
44,0.00008586,-7.0592,0.00011110,-5.9056,0.00050000,244.1
45,0.00008386,-7.1704,0.00014600,-4.7116,0.00025000,249.5
46,0.00006766,-7.8975,0.00007525,-7.5565,0.00025000,254.9
47,0.00005901,-8.3232,0.00007890,-7.4031,0.00025000,260.5
48,0.00005964,-8.3151,0.00008206,-7.3689,0.00025000,265.7
49,0.00006303,-8.1826,0.00008505,-7.2679,0.00025000,271.1
50,0.00006271,-8.2445,0.00007707,-7.6285,0.00025000,276.3
51,0.00006229,-8.3239,0.00007927,-7.4346,0.00025000,281.8
52,0.00006034,-8.4369,0.00007929,-7.5442,0.00025000,287.6
53,0.00006132,-8.4312,0.00008793,-6.9780,0.00025000,292.9
54,0.00006185,-8.3976,0.00011619,-5.7879,0.00012500,298.4
55,0.00005093,-9.0768,0.00006523,-8.3626,0.00012500,303.8
56,0.00004484,-9.4604,0.00006471,-8.4405,0.00012500,309.5
57,0.00004342,-9.5866,0.00006665,-8.3186,0.00012500,314.9
58,0.00004316,-9.6409,0.00006761,-8.1768,0.00012500,321.1
59,0.00004448,-9.5843,0.00007227,-7.9824,0.00012500,326.6
60,0.00004471,-9.5881,0.00007379,-7.8806,0.00006250,332.0
61,0.00004083,-9.9306,0.00006335,-8.5725,0.00006250,337.3
62,0.00003541,-10.3801,0.00006584,-8.3293,0.00006250,342.7
63,0.00003462,-10.4661,0.00006379,-8.5656,0.00006250,348.6
64,0.00003446,-10.5063,0.00006509,-8.4811,0.00006250,353.9
65,0.00003517,-10.4664,0.00006644,-8.4133,0.00003125,359.5
