epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
1,0.00077251,2.7269,0.00049050,-0.1374,0.00100000,34.6
2,0.00044418,-0.8047,0.00040347,-1.1660,0.00100000,70.4
3,0.00039598,-1.2747,0.00037021,-1.4637,0.00100000,103.9
4,0.00034625,-1.7223,0.00032501,-1.5355,0.00100000,136.6
5,0.00026272,-2.7522,0.00021702,-3.4218,0.00100000,169.4
6,0.00017600,-4.4535,0.00017603,-4.2134,0.00100000,202.0
7,0.00011895,-6.0741,0.00013642,-5.1689,0.00100000,235.2
8,0.00008751,-7.2499,0.00007597,-7.6486,0.00100000,268.2
9,0.00007648,-7.7627,0.00007529,-7.7284,0.00100000,300.9
10,0.00007173,-8.0038,0.00007081,-7.9688,0.00100000,333.4
11,0.00006994,-8.1240,0.00023454,-1.4299,0.00100000,366.5
12,0.00006741,-8.2576,0.00006903,-8.0443,0.00100000,399.2
13,0.00006699,-8.2964,0.00006841,-7.9941,0.00100000,431.8
14,0.00006563,-8.3708,0.00007048,-7.9669,0.00100000,464.7
15,0.00006507,-8.4046,0.00006665,-8.1436,0.00100000,497.6
16,0.00006534,-8.4070,0.00015199,-4.1119,0.00100000,531.5
17,0.00006442,-8.4678,0.00006619,-8.2950,0.00100000,564.7
18,0.00006396,-8.5327,0.00006504,-8.2605,0.00100000,597.2
19,0.00006398,-8.5495,0.00006935,-7.8943,0.00100000,630.0
20,0.00006400,-8.5428,0.00006808,-8.1413,0.00100000,662.8
21,0.00006290,-8.5994,0.00007164,-7.8286,0.00050000,695.6
22,0.00004320,-10.0848,0.00006575,-7.8863,0.00050000,728.1
23,0.00004284,-10.2931,0.00005374,-9.1373,0.00050000,760.9
24,0.00004202,-10.4387,0.00009299,-5.8126,0.00050000,794.2
25,0.00004111,-10.5802,0.00003951,-10.6109,0.00050000,827.9
26,0.00004078,-10.6464,0.00004207,-10.3791,0.00050000,860.7
27,0.00004017,-10.7589,0.00003872,-10.6842,0.00050000,893.4
28,0.00003948,-10.8287,0.00004270,-10.3332,0.00050000,926.2
29,0.00003937,-10.8622,0.00003769,-10.8615,0.00050000,959.1
30,0.00003920,-10.9021,0.00004180,-10.6154,0.00050000,991.5
31,0.00003894,-10.9200,0.00006248,-8.0619,0.00050000,1024.4
32,0.00003857,-10.9594,0.00005170,-9.4700,0.00050000,1057.0
33,0.00003880,-10.9665,0.00003800,-10.8266,0.00025000,1089.6
34,0.00002512,-12.7580,0.00002975,-11.8762,0.00025000,1123.8
35,0.00002652,-12.7358,0.00002794,-12.3656,0.00025000,1157.9
36,0.00002627,-12.8191,0.00002941,-12.2170,0.00025000,1192.0
37,0.00002556,-12.9543,0.00003411,-11.3915,0.00025000,1226.1
38,0.00002528,-13.0391,0.00002859,-12.1772,0.00025000,1259.4
39,0.00002502,-13.1043,0.00002509,-13.0327,0.00025000,1292.8
40,0.00002528,-13.0758,0.00005307,-8.7884,0.00025000,1327.8
41,0.00002461,-13.2075,0.00004246,-10.4179,0.00025000,1362.3
42,0.00002401,-13.3124,0.00002432,-13.2082,0.00025000,1398.8
43,0.00002436,-13.2385,0.00002798,-12.4517,0.00025000,1443.5
44,0.00002385,-13.3507,0.00002580,-12.8865,0.00025000,1489.6
45,0.00002405,-13.3075,0.00002603,-12.7889,0.00025000,1525.7
46,0.00002403,-13.3103,0.00009069,-6.0156,0.00012500,1561.7
47,0.00001601,-15.0579,0.00001649,-14.8416,0.00012500,1597.4
48,0.00001589,-15.0849,0.00001752,-14.7505,0.00012500,1634.4
49,0.00001696,-14.8520,0.00001907,-14.2821,0.00012500,1676.8
50,0.00001699,-14.8384,0.00002236,-13.0756,0.00012500,1739.7
51,0.00001665,-14.9275,0.00001852,-14.3315,0.00006250,1799.2
52,0.00001228,-16.2250,0.00001249,-16.1704,0.00006250,1858.6
53,0.00001180,-16.3629,0.00001307,-16.0639,0.00006250,1917.7
54,0.00001232,-16.2024,0.00001308,-16.1204,0.00006250,1961.7
55,0.00001222,-16.2668,0.00001413,-15.6349,0.00006250,2002.8
56,0.00001225,-16.2440,0.00001362,-15.6958,0.00003125,2040.8
57,0.00001017,-17.0324,0.00001051,-17.0129,0.00003125,2082.9
58,0.00000930,-17.3885,0.00001076,-16.8767,0.00003125,2119.0
59,0.00000945,-17.3187,0.00001066,-16.9759,0.00003125,2154.6
60,0.00000948,-17.3159,0.00001086,-16.8963,0.00003125,2191.5
