compression_ratio,latent_dim,bits_per_scalar,feedback_bits,compression_vs_raw,nmse_db,beamforming_gain_pct
4,512,float32,16384,4.0,-15.15,97.21
4,512,2,1024,64.0,5.39,41.18
4,512,3,1536,42.7,-5.07,77.27
4,512,4,2048,32.0,-10.95,92.21
4,512,5,2560,25.6,-13.7,95.94
4,512,6,3072,21.3,-14.67,96.83
4,512,8,4096,16.0,-15.0,97.1
16,128,float32,4096,16.0,-12.36,94.5
16,128,2,256,256.0,0.35,55.24
16,128,3,384,170.7,-8.07,85.39
16,128,4,512,128.0,-11.01,92.38
16,128,5,640,102.4,-12.0,93.98
16,128,6,768,85.3,-12.26,94.37
16,128,8,1024,64.0,-12.34,94.48
32,64,float32,2048,32.0,-9.87,90.26
32,64,2,128,512.0,1.62,39.93
32,64,3,192,341.3,-4.51,69.44
32,64,4,256,256.0,-7.97,84.81
32,64,5,320,204.8,-9.33,88.9
32,64,6,384,170.7,-9.73,89.91
32,64,8,512,128.0,-9.86,90.21
