epoch,train_loss,train_nmse_db,val_loss,val_nmse_db,lr,elapsed_s
1,2.47365150,3.9334,1.01673489,0.0721,0.00100000,31.9
2,1.00432183,0.0187,0.99407477,-0.0258,0.00100000,64.9
3,0.97318191,-0.1181,0.94046955,-0.2666,0.00100000,97.4
4,0.90008384,-0.4572,0.85412447,-0.6848,0.00100000,131.1
5,0.75426538,-1.2248,0.72127548,-1.4190,0.00100000,163.2
6,0.50544580,-2.9633,0.65867016,-1.8133,0.00100000,195.9
7,0.35891970,-4.4500,0.65109590,-1.8636,0.00100000,228.3
8,0.27659742,-5.5815,0.26276314,-5.8044,0.00100000,260.9
9,0.23645561,-6.2625,0.70250057,-1.5335,0.00100000,293.1
10,0.21278694,-6.7206,0.43187698,-3.6464,0.00100000,325.6
11,0.19688250,-7.0579,0.19069037,-7.1967,0.00100000,358.0
12,0.18385141,-7.3553,0.19612405,-7.0747,0.00100000,392.1
13,0.17343193,-7.6087,0.19479059,-7.1043,0.00100000,424.4
14,0.16456993,-7.8365,0.49407931,-3.0620,0.00100000,456.8
15,0.15750534,-8.0270,0.20764077,-6.8269,0.00050000,489.0
16,0.14461189,-8.3980,0.32291105,-4.9092,0.00050000,521.6
17,0.14176911,-8.4842,0.28832376,-5.4012,0.00050000,554.4
18,0.13924794,-8.5621,0.15209045,-8.1790,0.00050000,587.2
19,0.13665565,-8.6437,0.37440323,-4.2666,0.00050000,619.6
20,0.13447807,-8.7135,0.16264636,-7.8876,0.00050000,652.7
21,0.13195030,-8.7959,0.19086956,-7.1926,0.00050000,685.1
22,0.12996457,-8.8618,0.13478393,-8.7036,0.00050000,717.7
23,0.12784650,-8.9331,0.13055861,-8.8419,0.00050000,750.1
24,0.12608688,-8.9933,0.40347726,-3.9418,0.00050000,782.7
25,0.12480821,-9.0376,0.13649500,-8.6488,0.00050000,814.7
26,0.12262772,-9.1141,0.15916019,-7.9817,0.00050000,847.2
27,0.12122999,-9.1639,0.42109855,-3.7562,0.00025000,879.6
28,0.11637009,-9.3416,0.12868902,-8.9046,0.00025000,912.1
29,0.11586736,-9.3604,0.16346176,-7.8658,0.00025000,944.7
30,0.11489559,-9.3970,0.11996557,-9.2094,0.00025000,978.7
31,0.11446073,-9.4134,0.20612066,-6.8588,0.00025000,1001.1
32,0.11375069,-9.4405,0.37283330,-4.2849,0.00025000,1034.2
33,0.11282889,-9.4758,0.20118563,-6.9640,0.00025000,1066.4
34,0.11229584,-9.4964,0.11951595,-9.2257,0.00025000,1099.7
35,0.11164807,-9.5215,0.19317592,-7.1405,0.00025000,1131.8
36,0.11106602,-9.5442,0.11626210,-9.3456,0.00025000,1164.1
37,0.11065762,-9.5602,0.20483808,-6.8859,0.00025000,1196.2
38,0.10972021,-9.5971,0.11337452,-9.4548,0.00025000,1228.5
39,0.10953793,-9.6044,0.11293949,-9.4715,0.00025000,1261.1
40,0.10888973,-9.6301,0.16039197,-7.9482,0.00025000,1294.0
41,0.10824154,-9.6561,0.11121272,-9.5385,0.00025000,1326.1
42,0.10770378,-9.6777,0.13852809,-8.5846,0.00025000,1358.3
43,0.10723439,-9.6967,0.11100073,-9.5467,0.00025000,1390.6
44,0.10684000,-9.7127,0.10832743,-9.6526,0.00025000,1423.0
45,0.10643455,-9.7292,0.20006697,-6.9882,0.00025000,1454.9
46,0.10576089,-9.7567,0.11032248,-9.5734,0.00025000,1487.3
47,0.10537898,-9.7725,0.12930624,-8.8838,0.00025000,1519.6
48,0.10513356,-9.7826,0.12974168,-8.8692,0.00012500,1553.1
49,0.10277105,-9.8813,0.17495261,-7.5708,0.00012500,1585.7
50,0.10242502,-9.8959,0.12746245,-8.9462,0.00012500,1618.3
51,0.10218923,-9.9059,0.10506406,-9.7855,0.00012500,1650.5
52,0.10200563,-9.9138,0.10593533,-9.7496,0.00012500,1683.5
53,0.10173454,-9.9253,0.16871712,-7.7284,0.00012500,1715.6
54,0.10153095,-9.9340,0.10554764,-9.7655,0.00012500,1748.0
55,0.10121130,-9.9477,0.10636843,-9.7319,0.00006250,1780.2
56,0.10000931,-9.9996,0.10385343,-9.8358,0.00006250,1812.7
57,0.09986030,-10.0061,0.10354866,-9.8486,0.00006250,1845.0
58,0.09979897,-10.0087,0.10909337,-9.6220,0.00006250,1877.4
59,0.09966230,-10.0147,0.10899205,-9.6261,0.00006250,1909.9
60,0.09950868,-10.0214,0.11303083,-9.4680,0.00006250,1942.7
